
Name                                               AppID
Removable Drives and Media (Ubuntu-22.04)          Microsoft.AutoGenerated.{F6A412B9-4476-C791-5E6C-50DBEB40E5F4}
Reset VLC media player preferences and cache files Microsoft.AutoGenerated.{938EAED7-E079-AB4A-9EB5-270E54F1D407}
Resource Monitor                                   Microsoft.AutoGenerated.{C804BBA7-FA5F-CBF7-8B55-2096E5F972CB}
Ristretto Image Viewer (Ubuntu-22.04)              Microsoft.AutoGenerated.{0556C9DA-F530-3D9E-3317-21C45094182F}
Run                                                Microsoft.Windows.Shell.RunDialog
Samsung Account                                    SAMSUNGELECTRONICSCO.LTD.SamsungAccount_3c1yjt4zspk6g!App
Samsung Care+                                      SAMSUNGELECTRONICSCO.LTD.SamsungCarePlusLauncher_3c1yjt4zspk6g!App
Samsung Cloud                                      SAMSUNGELECTRONICSCO.LTD.SamsungCloudPlatformManag_3c1yjt4zspk6g!App
Samsung Device Care                                SAMSUNGELECTRONICSCO.LTD.SamsungPCCleaner_3c1yjt4zspk6g!App
Samsung Flow                                       SAMSUNGELECTRONICSCoLtd.SamsungFlux_wyx1vj98g3asy!App
Samsung Settings                                   SAMSUNGELECTRONICSCoLtd.GalaxyBook_wyx1vj98g3asy!App
Samsung Settings                                   SAMSUNGELECTRONICSCO.LTD.SamsungSettings1.5_3c1yjt4zspk6g!App
Samsung Studio                                     SAMSUNGELECTRONICSCO.LTD.SamsungStudio_3c1yjt4zspk6g!App
Samsung TV Plus                                    https://samsungtvplus.page.link/web
Samsung Update                                     SAMSUNGELECTRONICSCO.LTD.SamsungUpdate_3c1yjt4zspk6g!App
Scan                                               Microsoft.WindowsScan_8wekyb3d8bbwe!App
Screen Recorder                                    SAMSUNGELECTRONICSCO.LTD.SamsungScreenRecording_3c1yjt4zspk6g!App
Screenshot (Ubuntu-22.04)                          Microsoft.AutoGenerated.{F8714238-AB44-72D9-F191-899341518C2B}
Second Screen                                      SAMSUNGELECTRONICSCoLtd.SecondScreen_wyx1vj98g3asy!App
Sensor Viewer (Ubuntu-22.04)                       Microsoft.AutoGenerated.{8C4A2098-EE42-12FB-3425-428304CC083A}
Services                                           {1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc
Settings                                           windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel
ShareEnum                                          Microsoft.SysinternalsSuite_8wekyb3d8bbwe!ShareEnum
ShellRunas                                         Microsoft.SysinternalsSuite_8wekyb3d8bbwe!ShellRunas
